1,admin,admin,ROLE_ADMIN,3000,3,FALSE,FALSE,admin@gmail.com
2,john,tipp,ROLE_USER,200,1,FALSE,FALSE,john@gmail.com
3,mike,limerick,ROLE_USER,1700,2,FALSE,TRUE,mike@gmail.com
4,jack,business,ROLE_USER,3050,3,FALSE,TRUE,jack@gmail.com
5,aaron,sligo,ROLE_USER,1000,2,FALSE,FALSE,aaronfoster315@gmail.com
6,eireann,kerry,ROLE_USER,1500,2,FALSE,FALSE,eireann@gmail.com
7,sean,cork,ROLE_USER,2000,3,TRUE,FALSE,sean@gmail.com
8,aimee,mayo,ROLE_USER,2500,3,FALSE,FALSE,aimee@gmail.com
9,test,test,ROLE_USER,1,1,FALSE,FALSE,test123@gmail.com
10,test2,test,ROLE_USER,1,2,FALSE,FALSE,testemail
11,test3,test,ROLE_USER,1,3,FALSE,FALSE,testmail
